symbol,height,backness,roundedness,complexity
i,close,front,unrounded,0
y,close,front,rounded,10
ɨ,close,central,unrounded,10
ʉ,close,central,rounded,10
ɯ,close,back,unrounded,10
u,close,back,rounded,0
ɪ,near-close,front,unrounded,10
ʏ,near-close,front,rounded,10
ʊ,near-close,back,unrounded,10
e,close-mid,front,unrounded,1
ø,close-mid,front,rounded,10
ɘ,close-mid,central,unrounded,10
ɵ,close-mid,central,rounded,10
ɤ,close-mid,back,unrounded,10
o,close-mid,back,rounded,1
e̞,mid,front,unrounded,10
ø̞,mid,front,rounded,10
ə,mid,central,unrounded,2
ɵ̞,mid,central,rounded,10
ɤ̞,mid,back,unrounded,10
o̞,mid,back,rounded,10
ɛ,open-mid,front,unrounded,10
œ,open-mid,front,rounded,10
ɜ,open-mid,central,unrounded,10
ɞ,open-mid,central,rounded,10
ʌ,open-mid,back,unrounded,10
ɔ,open-mid,back,rounded,10
æ,near-open,front,unrounded,10
ɐ,near-open,central,unrounded,10
a,open,front,unrounded,0
ɶ,open,front,rounded,10
ä,open,central,unrounded,10
ɑ,open,back,unrounded,10
ɒ,open,back,rounded,10
